No,day,month,latitude,longitude,bus_id,seconds,No
379280,6,3,13.05082989,80.20599365,45214920406,53603,379280
379329,6,3,13.05082989,80.20599365,45214920406,53611,379329
379402,6,3,13.05082989,80.20599365,45214920406,53620,379402
379403,6,3,13.05082989,80.20599365,45214920406,53620,379403
379404,6,3,13.05082989,80.20599365,45214920406,53620,379404
379405,6,3,13.05082989,80.20599365,45214920406,53620,379405
379406,6,3,13.05082989,80.20599365,45214920406,53620,379406
379407,6,3,13.05082989,80.20599365,45214920406,53620,379407
379408,6,3,13.05082989,80.20599365,45214920406,53620,379408
379410,6,3,13.05082989,80.20599365,45214920406,53620,379410
379411,6,3,13.05082989,80.20599365,45214920406,53620,379411
379412,6,3,13.05082989,80.20599365,45214920406,53620,379412
379413,6,3,13.05082989,80.20599365,45214920406,53620,379413
379414,6,3,13.05082989,80.20599365,45214920406,53620,379414
379415,6,3,13.05082989,80.20599365,45214920406,53620,379415
379416,6,3,13.05082989,80.20599365,45214920406,53620,379416
379417,6,3,13.05082989,80.20599365,45214920406,53620,379417
379418,6,3,13.05082989,80.20599365,45214920406,53620,379418
379419,6,3,13.05082989,80.20599365,45214920406,53620,379419
379420,6,3,13.05082989,80.20599365,45214920406,53620,379420
379421,6,3,13.05082989,80.20599365,45214920406,53620,379421
379422,6,3,13.05082989,80.20599365,45214920406,53620,379422
379423,6,3,13.05082989,80.20599365,45214920406,53620,379423
379424,6,3,13.05082989,80.20599365,45214920406,53620,379424
379425,6,3,13.05082989,80.20599365,45214920406,53620,379425
379426,6,3,13.05082989,80.20599365,45214920406,53620,379426
379427,6,3,13.05082989,80.20599365,45214920406,53620,379427
379428,6,3,13.05082989,80.20599365,45214920406,53620,379428
381360,6,3,13.05091953,80.20606995,45214920406,53885,381360
381433,6,3,13.05091953,80.20606995,45214920406,53895,381433
381519,6,3,13.05091953,80.20606995,45214920406,53906,381519
381596,6,3,13.05091953,80.20606995,45214920406,53916,381596
381670,6,3,13.05091953,80.20606995,45214920406,53926,381670
381681,6,3,13.05091953,80.20606995,45214920406,53928,381681
381682,6,3,13.05091953,80.20606995,45214920406,53928,381682
381683,6,3,13.05091953,80.20606995,45214920406,53928,381683
381684,6,3,13.05091953,80.20606995,45214920406,53928,381684
381685,6,3,13.05091953,80.20606995,45214920406,53928,381685
381686,6,3,13.05091953,80.20606995,45214920406,53928,381686
381687,6,3,13.05091953,80.20606995,45214920406,53928,381687
381688,6,3,13.05091953,80.20606995,45214920406,53928,381688
381689,6,3,13.05091953,80.20606995,45214920406,53928,381689
381690,6,3,13.05091953,80.20606995,45214920406,53928,381690
381691,6,3,13.05091953,80.20606995,45214920406,53928,381691
381692,6,3,13.05091953,80.20606995,45214920406,53928,381692
381693,6,3,13.05091953,80.20606995,45214920406,53928,381693
381694,6,3,13.05091953,80.20606995,45214920406,53928,381694
381695,6,3,13.05091953,80.20606995,45214920406,53928,381695
381696,6,3,13.05091953,80.20606995,45214920406,53928,381696
381697,6,3,13.05091953,80.20606995,45214920406,53928,381697
381698,6,3,13.05091953,80.20606995,45214920406,53928,381698
381699,6,3,13.05091953,80.20606995,45214920406,53928,381699
381700,6,3,13.05091953,80.20606995,45214920406,53928,381700
381701,6,3,13.05091953,80.20606995,45214920406,53928,381701
381702,6,3,13.05091953,80.20606995,45214920406,53928,381702
381703,6,3,13.05091953,80.20606995,45214920406,53928,381703
381704,6,3,13.05091953,80.20606995,45214920406,53928,381704
381705,6,3,13.05091953,80.20606995,45214920406,53928,381705
383596,6,3,13.05101013,80.20622253,45214920406,54187,383596
383676,6,3,13.05099964,80.20613098,45214920406,54198,383676
383747,6,3,13.05099964,80.20613098,45214920406,54208,383747
383826,6,3,13.05099964,80.20613098,45214920406,54218,383826
383906,6,3,13.05099964,80.20613098,45214920406,54228,383906
383934,6,3,13.05099964,80.20613098,45214920406,54233,383934
383935,6,3,13.05099964,80.20613098,45214920406,54233,383935
383936,6,3,13.05099964,80.20613098,45214920406,54233,383936
383937,6,3,13.05099964,80.20613098,45214920406,54233,383937
383938,6,3,13.05099964,80.20613098,45214920406,54233,383938
383939,6,3,13.05099964,80.20613098,45214920406,54233,383939
383940,6,3,13.05099964,80.20613098,45214920406,54233,383940
383947,6,3,13.05099964,80.20613098,45214920406,54233,383947
383948,6,3,13.05099964,80.20613098,45214920406,54233,383948
